,ID,chain,state,time,full_emp,part_emp
1,46,BK,PA,0,30,15
2,49,KFC,PA,0,6.5,6.5
3,506,KFC,NJ,0,3,7
4,56,Wendys,NJ,0,20,20
5,61,Wendys,NJ,0,6,26
6,62,Wendys,NJ,0,0,31
7,445,BK,PA,0,50,35
8,451,BK,PA,0,10,17
9,455,KFC,NJ,0,2,8
10,458,KFC,NJ,0,2,10
11,462,Roys,NJ,0,2.5,20
12,468,BK,PA,0,40,30
13,469,BK,PA,0,8,27
14,470,BK,PA,0,10.5,30
15,474,BK,PA,0,6,9
16,481,KFC,NJ,0,5,17.5
17,483,KFC,NJ,0,1,15
18,487,Roys,NJ,0,10,6
19,488,Roys,PA,0,20,13
20,489,Roys,PA,0,5,23
21,490,Roys,NJ,0,10,12.5
22,493,Roys,NJ,0,27,12
23,495,Roys,PA,0,4,28
24,496,Roys,NJ,0,10,15
25,499,Wendys,NJ,0,0,28
26,509,Roys,NJ,0,3,16
27,515,Roys,NJ,0,7,16
28,37,BK,PA,0,21,9
29,39,BK,PA,0,1,32
30,40,BK,PA,0,10,20
31,41,BK,PA,0,0,27
32,42,BK,PA,0,17,4
33,45,BK,PA,0,0,24
34,47,BK,PA,0,25,15
35,48,BK,PA,0,6,20
36,50,KFC,PA,0,6,10
37,51,KFC,PA,0,0,15
38,57,Wendys,NJ,0,30,10
39,58,Wendys,NJ,0,8,25
40,59,Wendys,PA,0,0,15
41,60,Wendys,PA,0,10,20
42,407,KFC,NJ,0,2,12
43,430,BK,PA,0,20,25
44,432,BK,PA,0,20,55
45,433,BK,PA,0,10,30
46,434,BK,PA,0,15,50
47,435,BK,PA,0,1,37.5
48,438,KFC,PA,0,0,9
49,440,Wendys,PA,0,0,25
50,441,Wendys,PA,0,30,10
51,443,Wendys,PA,0,4,19
52,444,Wendys,PA,0,12,20
53,446,BK,PA,0,NA,NA
54,448,BK,PA,0,8,18
55,449,BK,PA,0,0,25
56,450,BK,PA,0,2,21
57,454,KFC,NJ,0,1,9
58,459,Roys,NJ,0,5,20
59,466,Wendys,PA,0,8,17.5
60,471,BK,PA,0,25,20
61,472,BK,PA,0,37.5,2
62,473,BK,PA,0,5,27
63,475,BK,PA,0,25,8
64,476,BK,PA,0,6,30
65,477,BK,PA,0,8,28
66,478,BK,PA,0,32,25
67,485,KFC,NJ,0,1,9
68,491,Roys,PA,0,4,25
69,492,Roys,NJ,0,2,16
70,497,Wendys,NJ,0,12,15
71,498,Wendys,NJ,0,20,10
72,501,BK,PA,0,14,15
73,503,BK,PA,0,7.5,14
74,510,Roys,NJ,0,7,25
75,511,Roys,NJ,0,4,16
76,514,Roys,PA,0,5,20
77,516,Roys,NJ,0,6,22.5
78,521,BK,PA,0,2.5,20
79,522,BK,PA,0,2,30
80,113,BK,PA,0,0,22
81,123,BK,PA,0,0,20
82,135,Roys,PA,0,10,20
83,138,Roys,NJ,0,4.5,25.5
84,153,BK,PA,0,0,25
85,181,KFC,PA,0,0,13
86,191,Wendys,PA,0,30,20
87,231,BK,PA,0,NA,10
88,236,BK,PA,0,0,34
89,254,Wendys,PA,0,20,10
90,255,Wendys,PA,0,0,14
91,294,BK,PA,0,0,35
92,306,Roys,NJ,0,15,15
93,311,Wendys,PA,0,0,30
94,315,BK,PA,0,5,19
95,335,BK,NJ,0,9,10
96,372,BK,NJ,0,0,45
97,6,Roys,NJ,0,2,2
98,14,KFC,PA,0,10,8
99,26,BK,PA,0,30,15
100,27,KFC,NJ,0,4,10
101,30,KFC,PA,0,6,4
102,31,KFC,PA,0,4,16
103,33,Roys,PA,0,12,20
104,36,Wendys,PA,0,8,12
105,77,Roys,PA,0,6,50
106,78,Roys,NJ,0,13,10
107,81,Wendys,PA,0,25,13
108,82,Wendys,PA,0,8,14.5
109,83,Wendys,PA,0,12.5,20
110,85,BK,PA,0,7,20
111,89,BK,NJ,0,10,6
112,94,KFC,PA,0,0,25
113,103,Wendys,PA,0,12.5,10
114,112,Wendys,PA,0,4,26
115,128,KFC,NJ,0,6.5,7.5
116,129,Roys,PA,0,20,20
117,131,Roys,PA,0,15,25
118,139,Wendys,PA,0,NA,NA
119,143,Wendys,PA,0,0,30
120,144,Wendys,PA,0,10,30
121,145,BK,PA,0,5,17
122,147,BK,PA,0,8.5,6.5
123,148,BK,PA,0,4.5,30
124,151,BK,PA,0,1,12
125,152,BK,PA,0,35,15
126,157,KFC,PA,0,10,5
127,161,Roys,NJ,0,8,25
128,163,Roys,NJ,0,12,18
129,164,Roys,NJ,0,4,30
130,165,Wendys,PA,0,20,10
131,169,BK,NJ,0,12,33
132,170,BK,NJ,0,10,20
133,187,Roys,PA,0,4,20
134,190,Roys,NJ,0,5,42
135,196,Wendys,NJ,0,8,19
136,197,BK,PA,0,23,10
137,234,BK,PA,0,0,10
138,240,Roys,NJ,0,15,35
139,241,Roys,PA,0,15,25
140,242,Roys,NJ,0,25,10
141,245,Roys,PA,0,15,8
142,259,BK,PA,0,13,12
143,268,BK,NJ,0,10,18
144,271,KFC,NJ,0,0,13
145,272,KFC,NJ,0,4,11
146,274,KFC,NJ,0,0,15
147,276,KFC,NJ,0,5,10
148,296,BK,NJ,0,5,16
149,299,KFC,NJ,0,3,8
150,301,KFC,NJ,0,8,12
151,320,KFC,PA,0,5,9
152,321,KFC,PA,0,3,14
153,324,Roys,PA,0,20,46
154,326,Roys,NJ,0,18,45
155,330,Wendys,PA,0,4,16
156,334,BK,PA,0,10,10
157,349,Roys,NJ,0,2.5,27
158,354,Wendys,PA,0,14,7
159,356,Wendys,PA,0,11.5,10
160,357,Wendys,PA,0,4.5,20
161,371,BK,PA,0,12,23
162,373,BK,NJ,0,14,12
163,375,BK,PA,0,25,10
164,378,BK,NJ,0,10,8
165,381,BK,PA,0,10,20
166,403,Roys,NJ,0,13,31
167,406,Wendys,NJ,0,12,35
168,407,Wendys,NJ,0,5,10
169,409,BK,PA,0,3,60
170,1,BK,PA,0,16,30
171,2,BK,PA,0,10,6
172,3,KFC,PA,0,6,13
173,4,Roys,PA,0,10,12
174,5,Roys,PA,0,5,30
175,8,Wendys,PA,0,NA,25
176,9,BK,PA,0,12,40
177,10,BK,PA,0,15,20
178,11,BK,PA,0,10,30
179,12,BK,PA,0,6.5,23.5
180,13,KFC,PA,0,0,25
181,15,Roys,PA,0,3,25
182,16,Roys,PA,0,6,22
183,17,Roys,PA,0,0,20
184,18,Roys,PA,0,15,25
185,19,BK,PA,0,4,31
186,21,KFC,PA,0,5,12
187,22,Roys,PA,0,3,15
188,23,BK,PA,0,0,25
189,24,BK,PA,0,15,15
190,28,KFC,PA,0,0,14
191,29,KFC,PA,0,0,7
192,32,Roys,PA,0,10,20.5
193,34,Roys,NJ,0,5,15
194,35,Wendys,PA,0,25,6.5
195,38,BK,PA,0,15,20
196,63,BK,NJ,0,26,6
197,64,BK,PA,0,20,15
198,65,BK,PA,0,0,20
199,66,BK,PA,0,15,18
200,67,BK,PA,0,5,15
201,68,BK,PA,0,30,10
202,69,BK,PA,0,0,27
203,70,BK,PA,0,35,20
204,71,BK,PA,0,0,35
205,73,KFC,PA,0,0,7
206,75,KFC,PA,0,3,15
207,76,Roys,NJ,0,8,32
208,79,Roys,NJ,0,6,25
209,80,Wendys,PA,0,4.5,20
210,84,BK,PA,0,4,30
211,86,BK,PA,0,11,11
212,87,BK,PA,0,0,15
213,88,BK,PA,0,3,35
214,91,BK,NJ,0,8,22
215,92,BK,NJ,0,4,18
216,93,BK,NJ,0,2.5,30
217,95,KFC,PA,0,18,3
218,96,KFC,PA,0,0,15
219,97,KFC,PA,0,0,12
220,98,KFC,PA,0,0,20
221,99,Roys,NJ,0,60,40
222,101,Roys,PA,0,4.5,15
223,102,Roys,PA,0,12,13
224,104,Wendys,PA,0,40,20
225,105,BK,PA,0,0,40
226,106,BK,PA,0,0,35
227,107,BK,NJ,0,6,11
228,108,BK,PA,0,13.5,15
229,111,Roys,PA,0,17,14
230,114,BK,PA,0,0,35
231,115,BK,PA,0,20,25
232,116,BK,PA,0,4,22.5
233,118,BK,PA,0,10,15
234,119,BK,PA,0,12,19
235,120,BK,NJ,0,0,32
236,122,BK,PA,0,1,38
237,124,BK,PA,0,8,10
238,125,KFC,PA,0,15,0
239,130,Roys,NJ,0,7,25.5
240,132,Roys,NJ,0,20,20
241,133,Roys,NJ,0,6,16
242,134,Roys,PA,0,5.5,25
243,136,Roys,NJ,0,14.5,14.5
244,137,Roys,NJ,0,15,25
245,140,Wendys,PA,0,0,40
246,141,Wendys,PA,0,10,15
247,142,Wendys,PA,0,15,35
248,146,BK,PA,0,8,20
249,149,BK,PA,0,0,20
250,150,BK,PA,0,0,27.5
251,156,BK,PA,0,8,15
252,158,KFC,PA,0,2,7
253,159,KFC,PA,0,6,12
254,162,Roys,NJ,0,0,40
255,166,Wendys,PA,0,8,32
256,168,BK,PA,0,5,20
257,171,BK,NJ,0,2,32
258,172,BK,PA,0,0,24
259,173,BK,PA,0,6,40
260,174,BK,PA,0,11,20
261,176,BK,PA,0,15,21
262,178,KFC,NJ,0,13,12
263,179,KFC,PA,0,2,12
264,180,KFC,PA,0,8,3
265,182,KFC,PA,0,3,15
266,183,KFC,PA,0,12,4
267,185,KFC,PA,0,2,9
268,186,Roys,PA,0,10,20
269,189,Roys,PA,0,4,15
270,192,Wendys,PA,0,20,10
271,193,Wendys,PA,0,1,13
272,195,Wendys,PA,0,0,30
273,198,BK,PA,0,NA,NA
274,199,KFC,PA,0,0,12
275,200,BK,PA,0,0,60
276,201,BK,PA,0,0,33
277,202,BK,PA,0,30,14
278,203,BK,PA,0,9,12
279,204,BK,PA,0,10,8.5
280,207,KFC,NJ,0,8,10
281,208,Roys,NJ,0,12,32
282,209,Roys,NJ,0,4,36
283,210,Wendys,NJ,0,0,19
284,211,BK,PA,0,3,28
285,212,BK,PA,0,11,17.5
286,213,BK,NJ,0,4.5,20
287,214,BK,PA,0,2,30
288,215,BK,PA,0,10,10
289,216,KFC,PA,0,2,11
290,217,KFC,NJ,0,2,13
291,218,KFC,NJ,0,7,4
292,219,KFC,NJ,0,3,9
293,220,KFC,PA,0,3,15
294,221,KFC,PA,0,1,28
295,222,Roys,NJ,0,2,24
296,223,Roys,NJ,0,3,18
297,225,Roys,NJ,0,3,27
298,226,Wendys,PA,0,0,22
299,228,Wendys,PA,0,3,28.5
300,229,BK,PA,0,3,40
301,230,BK,PA,0,0,25
302,232,BK,PA,0,18,6
303,233,BK,PA,0,19,7
304,235,BK,PA,0,5,17
305,237,BK,PA,0,12,11
306,238,KFC,NJ,0,0,22
307,239,KFC,PA,0,15,4
308,243,Roys,NJ,0,7,25
309,244,Roys,NJ,0,12,30
310,247,Wendys,PA,0,0,40
311,248,Wendys,PA,0,8,16
312,249,BK,PA,0,6,6
313,250,KFC,NJ,0,1,4
314,253,Roys,NJ,0,7,7
315,257,BK,PA,0,20,10
316,258,BK,PA,0,4,22
317,260,BK,NJ,0,10,20
318,262,BK,PA,0,7,13
319,264,BK,PA,0,0,10
320,265,BK,PA,0,0,20
321,267,BK,PA,0,6.5,20
322,269,KFC,NJ,0,2,10
323,273,KFC,NJ,0,2,14
324,275,KFC,NJ,0,4,4
325,277,KFC,NJ,0,2,15
326,278,KFC,NJ,0,3,4
327,282,Roys,NJ,0,2,14
328,284,Roys,NJ,0,5,23
329,285,Roys,NJ,0,3,25
330,286,Roys,NJ,0,1,15
331,287,Roys,NJ,0,3,18
332,288,Roys,NJ,0,0,20
333,289,Roys,NJ,0,2,12
334,290,Wendys,PA,0,8,12
335,291,Wendys,PA,0,4,20
336,292,Wendys,PA,0,10,15
337,295,BK,PA,0,8,9
338,297,BK,NJ,0,9,15
339,303,Roys,NJ,0,10,35
340,304,Roys,PA,0,10,20
341,305,Roys,NJ,0,0,20
342,307,Roys,NJ,0,17.5,17.5
343,310,Wendys,PA,0,0,28
344,312,BK,PA,0,4,6
345,313,BK,PA,0,11,9
346,314,BK,PA,0,8,12
347,316,BK,NJ,0,15,15
348,317,BK,PA,0,0,8
349,318,KFC,PA,0,5,7
350,319,KFC,PA,0,0,11
351,322,Roys,NJ,0,8,13
352,325,Roys,NJ,0,4,15
353,333,BK,PA,0,2,16.5
354,336,BK,PA,0,28,12
355,337,BK,NJ,0,5,29.5
356,339,BK,NJ,0,18,6
357,340,BK,PA,0,6,30
358,341,KFC,NJ,0,2,7
359,343,KFC,NJ,0,10,6
360,346,KFC,NJ,0,2,10.5
361,348,Roys,NJ,0,3,10.5
362,350,Roys,NJ,0,8,9
363,351,Roys,NJ,0,2,27.5
364,352,Roys,NJ,0,0,19
365,353,Roys,NJ,0,7.5,22.5
366,355,Wendys,PA,0,2,17
367,359,BK,NJ,0,0,22
368,360,BK,PA,0,3,25
369,361,BK,PA,0,6,13
370,362,KFC,PA,0,6,13
371,363,KFC,PA,0,0,25
372,364,KFC,PA,0,3.5,20
373,366,Roys,PA,0,2,17
374,368,Wendys,PA,0,0,20
375,369,BK,NJ,0,0,15
376,370,BK,PA,0,20,11.5
377,376,BK,PA,0,4,10
378,377,BK,PA,0,12,6
379,379,BK,PA,0,20,12
380,380,BK,PA,0,10,15
381,383,BK,PA,0,6,4
382,384,BK,PA,0,NA,NA
383,385,BK,PA,0,16,14
384,386,BK,PA,0,0,19
385,391,KFC,PA,0,15,5
386,393,KFC,NJ,0,4,10
387,396,Roys,NJ,0,24,16
388,397,Roys,NJ,0,4,28
389,398,Roys,NJ,0,14,13
390,399,Roys,NJ,0,13,8
391,400,Roys,NJ,0,16,15
392,401,Roys,PA,0,8,6
393,402,Roys,NJ,0,11,10
394,405,Roys,NJ,0,6,17
395,410,BK,PA,0,0,35
396,411,BK,PA,0,0,36
397,412,KFC,PA,0,0,17
398,413,BK,PA,0,0,36
399,414,BK,PA,0,0,36
400,415,BK,PA,0,8,32
401,417,BK,NJ,0,4,28
402,418,BK,PA,0,30,15
403,419,KFC,NJ,0,3,10
404,421,KFC,NJ,0,20,10
405,422,KFC,PA,0,0,7
406,423,KFC,NJ,0,2,10
407,424,KFC,NJ,0,3.5,6.5
408,426,Roys,NJ,0,3,33
409,427,Wendys,PA,0,7,8
410,428,Wendys,PA,0,0,33
